41,JARVIS,1,1,0
122,PEPPER.”,1,0,0
31,OBADIAH,1,1,0
121,MONITOR,1,0,0
33,WOMAN,1,1,0
95,TYCOON,1,1,0
35,PEPPER,1,1,0
97,NIGHT,1,0,0
99,KID,1,1,0
38,CHRISTINE,1,1,0
102,SOLDIER,1,1,0
88,REPORTER,1,1,0
42,PDA.,1,0,0
43,ATTENDANT,1,1,0
114,UAV.,1,0,1
104,OFFICER,1,1,0
63,YINSEN!,1,0,1
47,YINSEN,1,1,0
48,ABU,1,1,0
49,GABRIEL,1,1,0
112,BITCHING-BETTY,1,1,0
52,LATER:,1,0,0
53,K32,1,0,0
54,RAZA,1,1,0
107,CALL.,1,0,0
109,SKY,1,0,0
60,KHALID,1,1,0
124,AGENT,1,1,0
29,NARRATOR,1,1,0
26,RHODEY,1,1,0
81,BLACK.,1,0,0
80,VOICE,1,1,0
91,MAN,1,1,0
78,CRAMER,1,1,0
7,TAN:,1,0,0
8,CHERRY:,1,0,0
9,SALMON:,1,0,0
10,BUFF:,1,0,0
11,GOLDENROD:,1,0,0
12,GREEN:,1,0,0
125,TONY--,1,0,1
14,PINK:,1,0,0
13,YELLOW:,1,0,0
16,WHITE:,1,0,0
131,NOW!,1,0,1
127,SCREAMS.,1,0,0
73,COULSON,1,1,0
21,TONY,1,1,0
22,JIMMY,1,1,0
23,RAMIREZ,1,1,0
24,PRATT,1,1,0
72,HOGAN,1,1,0
15,BLUE:,1,0,0
103,MAJOR ALLEN,2,1,0
75,REPORTER #2,2,1,0
76,REPORTER #3,2,1,0
62,INSIDE LAB,2,0,0
77,VARIOUS SHOTS:,2,0,0
59,NEW ANGLE,2,0,0
0,IRON MAN,2,0,0
108,TONY’S SUIT,2,0,0
134,TONY’S H.U.D.,2,0,0
4,PINK #2:,2,0,0
3,YELLOW #2:,2,0,0
25,STAY HERE!,2,0,1
58,GENERAL GABRIEL,2,1,0
120,HEAD ENGINEER,2,1,0
2,GREEN #2:,2,0,0
1,BUFF #2:,2,0,0
37,WOMAN’S VOICE,2,1,0
116,I’M HIT!,2,0,1
40,BACK TO:,2,0,0
113,VIPER 2,2,1,0
46,REVERSE ANGLE,2,0,0
111,CONTROL ROOM,2,0,0
110,VIPER 1,2,1,0
6,WHITE #2:,2,0,0
5,BLUE #2:,2,0,0
93,TV REPORTER’S VOICE,3,1,0
126,GRINDING METAL --,3,0,0
96,DUBAI BEAUTY #1,3,1,0
117,-- WAIT --!,3,0,1
92,DO YOU MIND?,3,0,1
87,LAB - LATER,3,0,0
68,INSIDE THE LAB,3,0,0
55,OPEN YOUR MOUTH!,3,0,1
34,TONY (IN STALL),3,1,0
36,A MINUTE LATER,3,0,0
51,I’M A FOOL?,3,0,1
74,REPORTER # 1,3,1,0
56,TELL ME NOW!,3,0,1
61,HALLWAY - DAY,3,0,0
70,STOP!  STOP!,3,0,1
69,OUTSIDE THE LAB,3,0,0
135,FIND A WAY!,3,0,1
132,KID IN THE BACKSEAT,4,1,0
128,ANGLE ON - PEPPER,4,0,0
45,ANGLE - ON TONY,4,0,0
106,ANGLE ON - REFUGEES,4,0,0
105,ANGLE ON - RAZA,4,0,0
64,OUTSIDE LAB - DAY,4,0,0
85,FROM ABOVE A CLOUD:,4,0,0
136,IT’S ALREADY OVERLOADING --,4,0,1
100,NEW ANGLE - CRAWLSPACE,4,0,0
98,NEW ANGLE - PEPPER,4,0,0
83,CLOSER - DIFFERENT ANGLES,4,0,0
133,"GO, MOM!  GO --",5,0,1
86,"STATUS, STATUS!  REBOOT --",5,0,1
130,TONY -- ARE YOU THERE?,5,0,1
129,PIPE ROOM - SAME TIME,5,0,0
101,NEW ANGLE - IRON MAN,5,0,0
118,-- TAKE THE TARGET OUT!,5,0,1
39,REVERSE ANGLE - OUTSIDE WINDOW,5,0,0
44,RHODEY’S POV - THE COCKPIT,5,0,0
119,LOCKED ON!  LOCKED ON!,5,0,1
94,NEW ANGLE - MINUTES LATER,5,0,0
89,A SIGN:  “FIREFIGHTERS FAMILY FUND...”,6,0,0
79,NEW ANGLE - LATER - DAY,6,0,0
84,TONY’S POV - THE “HEADS-UP DISPLAY”,6,0,0
65,TUNNEL - SECONDS LATER - DAY,6,0,0
123,CLOSE ON - ANSWERING SYSTEM LCD,6,0,0
27,"GET DOWN, TONY.  GET THE --",7,0,1
50,A WASHING MACHINE?  DOES HE THINK,7,0,1
82,REVEAL:  INT.  TENT - NIGHT,7,0,0
28,CREDITS OVER A FULL SCREEN FILM REEL:,7,0,0
71,NEW ANGLE - MINUTES LATER - DAY,7,0,0
67,OUTSIDE THE LAB - SAME TIME - DAY,8,0,0
57,CLOSE ON - LIGHT-BOARD: AS IT’S FLICKED ON.,8,0,0
66,LAB - CAVE - SAME TIME - DAY,8,0,0
20,ALTER ANY OF THE RESTRICTIONS SET FORTH ABOVE.,8,0,0
90,REVEAL:  EXT.  DISNEY CONCERT HALL - NIGHT,9,0,0
32,REVEAL: INT.  CASINO - CAESARS PALACE - NIGHT,9,0,0
17,"PORTION OF THIS SCRIPT MAY BE PERFORMED, PUBLISHED, REPRODUCED,",9,0,0
115,INSIDE SUIT: BUZZERS. WARNING LIGHTS FLASH:  “POWER 28%”.,9,0,0
19,"MEDIUM, INCLUDING ANY WEB SITE, WITHOUT THE PRIOR WRITTEN CONSENT",10,0,0
18,"SOLD OR DISTRIBUTED BY ANY MEANS, OR QUOTED OR PUBLISHED IN ANY",12,0,0
30,REVEAL:  INT. BALLROOM - CAESAR’S PALACE - LAS VEGAS - NIGHT,12,0,0
